Data;Dia da Semana;Nome do Cliente;Número da Mesa;Quantidade de Pessoas;Tipo de Pedido;Sabor;Quantidade;Massa;Retirar Ingredientes;Adicionar Ingredientes Extras;Tipo de Bebida;Marca/Sabor da Bebida;Quantidade de Bebidas;Especificação da Bebida;Quantidade de Copos;Quantidade de Pratos;Forma de Pagamento;Pedido para Viagem
2024-09-23;Monday;Olívia;17;6;Pizza;Queijo;3;Recheada;Nenhum;Bacon extra;"Cerveja;Água";"Skol;H2O";"12;12";"Sem Gelo;Com Gelo e Limão";24;12;Transferência;Sim
2024-09-23;Monday;Miguel;27;3;Pizza;Vegetariana;1;Tradicional;Sem queijo;Nenhum;Suco;Del Valle Maracujá;3;Sem Gelo;3;3;Cartão de Crédito;Sim
2024-09-23;Monday;Helena;6;9;Pizza;Frango com Queijo;4;Tradicional;Nenhum;Catupiry extra;"Suco;Refrigerante;Água";"Del Valle Laranja;Sprite;H2O";"9;9;18";"Com Gelo;Com Gelo e Limão;Com Gelo e Limão";36;9;Dinheiro;Não
2024-09-23;Monday;Gabriel;5;9;Pizza;Baiana;4;Tradicional;Sem cebola;Queijo extra;"Suco;Refrigerante;Água";"Del Valle Laranja;Sprite;H2O";"9;9;18";"Com Gelo;Com Gelo e Limão;Com Gelo e Limão";36;9;Dinheiro;Não
2024-09-23;Monday;Sabrina;26;9;Pizza;Alho com Queijo;4;Tradicional;Nenhum;Nenhum;"Suco;Refrigerante;Água";"Del Valle Laranja;Sprite;H2O";"9;9;18";"Com Gelo;Com Gelo e Limão;Com Gelo e Limão";36;9;Dinheiro;Não
2024-09-23;Monday;Fernanda;1;5;Esfiha;Bacon;20;Tradicional;Nenhum;Queijo extra;Água;Água com Gás;10;Temperatura Ambiente;10;10;Cartão de Crédito;Sim
2024-09-23;Monday;Gustavo;2;5;Esfiha;Banana com Canela;20;Tradicional;Sem chocolate;Chocolate extra;Água;Água com Gás;10;Temperatura Ambiente;10;10;Cartão de Crédito;Sim
2024-09-23;Monday;Cecília;13;5;Esfiha;Portuguesa;20;Tradicional;Nenhum;Cebola extra;Água;Água com Gás;10;Temperatura Ambiente;10;10;Cartão de Crédito;Sim
2024-09-23;Monday;Mariana;30;1;Pizza;Romeu e Julieta;0;Fina;Sem chocolate;Chocolate extra;Cerveja;Corona;2;Temperatura Ambiente;2;1;Cartão de Crédito;Sim
2024-09-23;Monday;Olívia;29;9;Esfiha;Calabresa;36;Tradicional;Sem cebola;Nenhum;Drink;Caipirinha;9;Com Gelo e Limão;9;18;Transferência;Não
2024-09-23;Monday;Eduardo;17;9;Esfiha;Banana com Canela;36;Tradicional;Nenhum;Leite condensado extra;Drink;Caipirinha;9;Com Gelo e Limão;9;18;Transferência;Não
2024-09-23;Monday;Elena;14;9;Esfiha;Vegetariana;36;Tradicional;Nenhum;Cebola extra;Drink;Caipirinha;9;Com Gelo e Limão;9;18;Transferência;Não
2024-09-23;Monday;Lara;41;9;Esfiha;Mequi;36;Tradicional;Nenhum;Nenhum;Drink;Caipirinha;9;Com Gelo e Limão;9;18;Transferência;Não
2024-09-23;Monday;Samuel;43;4;Esfiha;Queijo;16;Fina;Sem tomate;Nenhum;Cerveja;Corona;8;Sem Gelo;8;4;Dinheiro;Não
2024-09-23;Monday;Carlos;1;1;Pizza;Bacon;0;Fina;Sem cebola;Nenhum;Cerveja;Heineken;2;Com Gelo;2;1;Cartão de Débito;Não
2024-09-23;Monday;Vinícius;14;9;Pizza;Romeu e Julieta;4;Tradicional;Nenhum;Morango extra;"Suco;Refrigerante";"Suco Natural;Coca-Cola";"9;9";"Com Gelo;Com Gelo e Limão";18;18;Cartão de Débito;Não
2024-09-23;Monday;Yasmin;44;9;Pizza;Portuguesa;4;Tradicional;Sem azeitonas;Nenhum;"Suco;Refrigerante";"Suco Natural;Coca-Cola";"9;9";"Com Gelo;Com Gelo e Limão";18;18;Cartão de Débito;Não
